discourse_id,Ineffective,Adequate,Effective,label
00012dd44157,0.231271356344223,0.7664573192596436,0.0022712962236255,1
0005969dea79,0.0166754852980375,0.4938652813434601,0.489459216594696,2
00062190afe4,0.4659725725650787,0.4271521866321563,0.1068751737475395,0
000835cf1a9e,0.0153854377567768,0.5754440426826477,0.4091705083847046,2
00089291ece1,0.792751133441925,0.2068473100662231,0.0004015193262603,1
00092b4d8eca,0.4406456649303436,0.5576450228691101,0.0017093829810619,1
000a03cbe6c7,0.0349342115223407,0.6195138692855835,0.3455519676208496,0
000f96227017,0.3763146102428436,0.6218740344047546,0.0018113147234544,1
0011183ca5fd,0.0038429903797805,0.2364394217729568,0.759717583656311,2
0012dc59115f,0.2829458117485046,0.7036425471305847,0.0134116932749748,1
00137d08573c,0.0467510446906089,0.9512693285942078,0.0019795848056674,1
0013cc385424,0.0566303990781307,0.9113343954086304,0.0320351757109165,1
001593be0f4a,0.2034530490636825,0.6563798785209656,0.1401670575141906,1
00165714192b,0.0728137046098709,0.91350257396698,0.0136837204918265,1
001747418183,0.5644328594207764,0.4314834773540497,0.0040837223641574,0
0019f2383380,0.0212397165596485,0.768047034740448,0.2107132375240326,1
001a03dec4e8,0.8753780722618103,0.1242791041731834,0.0003427957417443,0
001d38a4a0ea,0.0136382170021533,0.6820962429046631,0.304265558719635,1
001d74a4af6c,0.1784674078226089,0.685498833656311,0.1360337883234024,1
001d99b4f21b,0.1818072199821472,0.8074133992195129,0.010779395699501,0
001e6ee7115f,0.0696251019835472,0.7790102362632751,0.1513646394014358,1
00237fb9f803,0.7042674422264099,0.2939897775650024,0.0017427586717531,0
00248c5ce57a,0.6981670260429382,0.3011074662208557,0.0007255119271576,0
002644e86e26,7.845970685593784e-05,0.0687179043889045,0.9312036037445068,2
00264751395f,0.0909985974431037,0.8668950796127319,0.042106308043003,0
0029cba29fa0,0.2406426221132278,0.7510056793689728,0.008351746131666,1
00314844ae04,0.0576836764812469,0.5302519202232361,0.4120644032955169,1
0035468f1d4c,0.4251778721809387,0.5211337804794312,0.0536883659660816,1
00365233baec,0.0006329503958113,0.1197123751044273,0.8796547055244446,2
0038144f43b3,0.2974380850791931,0.700522243976593,0.0020396343898028,1
0039c840caeb,0.0002262885682284,0.1181834787130355,0.8815902471542358,2
0039eee17c2a,0.0377970859408378,0.9515888690948486,0.0106140812858939,1
003bf859481a,0.3850826323032379,0.5833814740180969,0.0315358601510524,0
003c0657ecfb,0.6307151913642883,0.3682592213153839,0.0010255286470055,0
004095db60ce,0.0570150502026081,0.2561805248260498,0.6868044137954712,2
0041916de7e8,0.0010312939994037,0.5034182667732239,0.4955503940582275,2
0041edef2bdb,0.0013809755910187,0.487008273601532,0.511610746383667,1
00421681bce9,0.1176590695977211,0.8221842646598816,0.0601566731929779,1
00450660add5,0.0298445578664541,0.9173707365989684,0.0527846366167068,1
0046de93a962,0.7007965445518494,0.2985760569572449,0.0006274339975789,0
0047ec8f5596,0.4436280131340027,0.5537123680114746,0.0026596838142722,1
004a634b816d,0.0913235619664192,0.826529324054718,0.0821471139788627,1
004b27a5f1ff,0.0715337544679641,0.924634337425232,0.0038318848237395,1
004cf1ded753,0.0682700425386428,0.9059332013130188,0.0257967952638864,1
004cf77efe15,0.0037043176125735,0.2693837285041809,0.7269119620323181,1
004d9e78444a,0.0045546229230239,0.0940848253667354,0.9013605117797852,2
005046268be0,0.0844927728176117,0.8970391750335693,0.0184680540114641,1
0051bfde3b9d,0.0548532120883464,0.8268303275108337,0.1183164715766906,1
005239304fb9,0.185442566871643,0.762406051158905,0.0521513745188713,1
00544f9fb25c,0.0018768142908811,0.3208778500556946,0.6772453188896179,2
005634150ba7,0.5789374709129333,0.4173314869403839,0.0037310968618839,1
00589ce33b59,0.175966277718544,0.8198387622833252,0.0041949385777115,1
0058ba6ebbd4,0.0021062286105006,0.0886583253741264,0.909235417842865,2
005c4cac4b55,0.2019765377044677,0.7860318422317505,0.0119915958493947,1
005c6eafcc76,0.1874940991401672,0.7743045687675476,0.0382013209164142,0
005ed61fccfe,0.4885907769203186,0.5103374719619751,0.001071716658771,1
005ee6e5f5cd,0.1632436215877533,0.4519160687923431,0.3848403096199035,1
0060aead4e77,0.0492923036217689,0.7811676859855652,0.1695400029420852,1
00610b8a1cdc,0.0790614038705825,0.5963490009307861,0.3245895802974701,1
0066a2524b34,0.1062793657183647,0.874883770942688,0.0188368130475282,1
00697b9422e6,0.0540801398456096,0.8187766075134277,0.1271432489156723,1
00705e17dfcd,0.3095305263996124,0.6872334480285645,0.0032360015902668,0
0070a6ae29a1,0.1951428800821304,0.7215062379837036,0.0833508819341659,0
007401469962,0.3441589772701263,0.6187559366226196,0.037085086107254,1
00744ea8eaa7,0.3427553176879883,0.6392217874526978,0.018022883683443,1
007626702265,0.1441594511270523,0.8526701927185059,0.0031703494023531,1
0076b0b737a2,0.7423160672187805,0.2572846710681915,0.0003992929996456,0
00778ffe9c74,0.38022181391716,0.5921897888183594,0.0275883302092552,1
0077a47912b2,0.0809996798634529,0.900892972946167,0.0181073378771543,1
0077fb413a28,0.0863126441836357,0.9038668870925904,0.009820494800806,1
007c6b649ea3,0.0964292958378791,0.5341790318489075,0.3693916797637939,2
007de914a712,0.0014437407953664,0.2904278934001922,0.7081283330917358,2
007fd8eb752d,0.019794663414359,0.8199032545089722,0.160302072763443,1
0080540d1d72,0.0018465329194441,0.4145060777664184,0.5836473703384399,1
00810a985912,0.1418114304542541,0.7397019863128662,0.1184865981340408,0
00821551d0ca,0.1654055714607238,0.8269500136375427,0.0076444162987172,1
00847d23ed35,0.0126918600872159,0.9759101271629332,0.0113980500027537,1
0085664d9e90,0.0017467569559812,0.3098072111606598,0.688446044921875,2
0088df2dee0c,0.2036694437265396,0.6954081058502197,0.1009224727749824,0
008b0b124533,0.0352200530469417,0.6540400385856628,0.3107399046421051,2
008cf42d39ef,0.0391441844403743,0.8352533578872681,0.1256024241447448,1
008f962308e1,0.0182935390621423,0.7415367960929871,0.2401697337627411,1
